taille_tabou 10101860 8456974 478512365 452595 12541255878 4457963284 11458779653 1254 2688795413 22051998
0.0 3946.0 3971.0 3965.0 3950.0 3902.0 3889.0 3995.0 3893.0 3956.0 3974.0
10.0 3937.0 3902.0 3920.0 3948.0 3959.0 3994.0 3954.0 3957.0 3895.0 3918.0
20.0 3872.0 3891.0 3924.0 3883.0 3916.0 3933.0 3923.0 3917.0 3909.0 3925.0
30.0 3952.0 4030.0 3968.0 3929.0 3909.0 3939.0 3932.0 3977.0 3841.0 4006.0
40.0 4000.0 3942.0 3841.0 3994.0 3938.0 4064.0 3927.0 3925.0 3907.0 4003.0
50.0 4051.0 3846.0 3963.0 3949.0 3876.0 3911.0 3909.0 3959.0 3859.0 4010.0
60.0 3956.0 3984.0 4013.0 4020.0 4014.0 4012.0 3913.0 3902.0 4024.0 3923.0
70.0 3914.0 3896.0 3892.0 3919.0 3957.0 3967.0 4017.0 3930.0 3977.0 3884.0
80.0 3818.0 3983.0 3983.0 3990.0 3922.0 3923.0 3965.0 3999.0 3857.0 3947.0
90.0 3941.0 3953.0 3932.0 3948.0 3943.0 3870.0 3967.0 3987.0 3850.0 3916.0
100.0 3832.0 3972.0 3943.0 3917.0 3933.0 4033.0 3934.0 3875.0 3974.0 3924.0
110.0 3912.0 3873.0 4014.0 3893.0 3964.0 3907.0 3848.0 3868.0 4003.0 3885.0
120.0 3866.0 3811.0 3929.0 4010.0 3959.0 3941.0 3977.0 3909.0 3947.0 3838.0
130.0 3903.0 3889.0 3930.0 3968.0 3965.0 3896.0 3864.0 3892.0 3948.0 3914.0
140.0 3958.0 3953.0 3838.0 3817.0 3939.0 3954.0 3811.0 3896.0 3922.0 3939.0
150.0 3831.0 3957.0 3923.0 3942.0 3948.0 3974.0 3978.0 3876.0 3949.0 3942.0
160.0 4035.0 3957.0 3983.0 3925.0 3860.0 3947.0 3907.0 3816.0 3962.0 3935.0
170.0 3845.0 3904.0 3903.0 3966.0 3950.0 4016.0 3906.0 3859.0 4005.0 3911.0
180.0 3856.0 3906.0 3923.0 3920.0 3927.0 3886.0 3947.0 3870.0 3991.0 3844.0
190.0 3885.0 3893.0 3976.0 3871.0 3805.0 4002.0 3967.0 3784.0 3947.0 3952.0
200.0 4025.0 3843.0 3855.0 3862.0 3893.0 3842.0 3975.0 3898.0 3896.0 3879.0
210.0 3949.0 3977.0 3910.0 3909.0 3812.0 3918.0 3787.0 3873.0 3932.0 3908.0
220.0 3933.0 3820.0 3850.0 3859.0 3857.0 3863.0 4021.0 3949.0 3941.0 3874.0
230.0 4045.0 3856.0 3867.0 3896.0 3918.0 4018.0 3944.0 4002.0 3847.0 4026.0
240.0 3897.0 3864.0 3835.0 3844.0 3965.0 3901.0 3932.0 4000.0 3945.0 3856.0
